U,2.,5.0.4.,3.
P,3,0.4.5.,7.5.4.
T,7.0,1.6666666666666667
H,24.1767800453515,3,3
H,24.42832955404391,3,3
H,24.87337868480729,3,3
H,28.124172335600946,3,3
H,28.53052154195019,3,3
H,28.97557067271357,3,3
H,31.97148148148156,3,3
H,32.745479969765725,3,2
H,33.596878306878345,3,3
H,35.822123960695436,3,3
H,36.770272108843635,3,2
H,37.873219954648576,3,3
H,40.05976568405143,3,3
H,40.98856386999252,3,2
L,5,41.55674036281167,46.55674036281167
P,3,0.4.5.,7.5.5.
H,42.072161753590386,3,3
H,43.059009826152774,3,3
H,43.949108087679576,3,3
H,44.31675736961454,3,3
H,44.78115646258513,3,3
H,45.1488057445201,3,3
H,45.651904761904824,3,3
H,47.95788359788368,3,3
H,48.344882842025754,3,3
L,0,49.15611866969013,56.15611866969013
P,3,0.4.5.,5.5.5.
H,49.989629629629704,3,3
H,50.27987906273625,3,3
H,50.879727891156506,3,3
H,52.350325018896505,3,3
H,53.22107331821624,3,3
H,53.49197278911568,3,3
H,53.646772486772555,3,2
H,53.89832199546492,3,3
H,54.227271352985696,3,2
H,54.536870748299364,3,3
H,55.09801965230544,3,3
H,55.659168556311464,3,3
L,5,56.35612811791373,67.35612811791373
P,3,0.4.5.,5.5.11.
H,56.142917611489125,3,3
H,57.05236583522304,3,3
H,57.55546485260777,3,3
H,58.17466364323515,3,3
H,59.20021164021172,3,3
H,59.56786092214673,3,3
H,59.858110355253274,3,3
H,60.148359788359826,3,3
H,60.41925925925935,3,3
H,61.73505668934247,3,3
H,62.18010582010585,3,3
H,63.34110355253218,3,3
H,64.22786848072569,3,3
H,64.78901738473172,3,3
H,65.73716553287991,3,3
H,65.98871504157223,3,2
H,66.16286470143618,3,3
H,66.2983144368859,3,2
H,66.49181405895696,3,3
H,66.58856386999254,3,2
H,66.8788133030991,3,3
H,67.03361300075592,3,2
H,67.92371126228278,3,3
H,68.31071050642485,3,3
H,69.12340891912329,3,3
H,69.99415721844304,3,3
H,70.59400604686324,3,3
H,71.2519047619048,3,3
H,71.54215419501139,3,2
H,71.75500377928952,3,3
H,71.87110355253222,3,2
H,72.14200302343166,3,3
H,72.18070294784589,3,2
H,72.58705215419508,3,2
H,72.7805517762661,3,3
H,73.74804988662142,3,3
H,74.13504913076345,3,3
H,74.75424792139087,3,3
H,75.62499622071056,3,3
H,76.36029478458053,3,3
H,77.90829176114894,3,3
L,0,78.82261904761911,86.82261904761911
P,3,0.4.5.,8.5.11.
H,79.204739229025,3,3
H,80.30768707482999,3,3
H,82.2780498866214,3,3
L,5,82.96533446712007,93.96533446712007
P,3,0.4.5.,8.5.6.
